id,source_type,text,suggested_label,label,human_overrode
rnba_001,post,"Over the last 10 NBA Finals, 7 champions ranked top-5 in net rating during the regular season. The narrative that the regular season does not matter ignores how strongly sustained dominance predicts playoff success. Only the 2011 Mavs and 2006 Heat won titles from outside the top 5 in the last 20 years.",analysis,analysis,False
rnba_002,post,"The 3-point revolution is usually framed as a volume story, but the more interesting number is corner 3-point frequency. Corner threes went from roughly 3% of all field goal attempts in 2009-10 to about 8% by 2022-23. The geometry of the corner is what drove the specific shape of modern offense, not just Steph chucking from deep.",analysis,analysis,False
rnba_003,post,"Jokic's true shooting percentage this season is 66.8% on enormous volume. Most All-Star-caliber centers with similar usage land in the 58-62% range. What separates him is not just shot selection — his free throw rate (FTr of 0.41) means he is drawing fouls at a guard's rate from a center position, which compounds the efficiency advantage.",analysis,analysis,False
rnba_004,comment,"Teams that held opponents under 110 points per 100 possessions in the playoffs have won 8 of the last 10 championships. The narrative that offense wins titles now is partially true, but the teams that win it all almost always have both an elite offense and a top-10 defensive rating. Pure offensive teams without defensive identity rarely make it through four rounds.",analysis,analysis,False
rnba_005,post,"Home court advantage in 7-game series is underrated. Historical playoff data shows the home team wins roughly 63% of individual games. In Game 7s that jumps to about 77%. The Golden State dynasty was partly a story about Oracle Arena — they rarely faced elimination games on the road, which inflates how dominant they looked compared to teams that had to grind through hostile environments.",analysis,analysis,False
rnba_006,post,"LeBron's statistical longevity is genuinely unprecedented. He has averaged 25+ points per game for 20 consecutive seasons. Jordan did it for 12. Kareem for 14. If you want to argue GOAT status based on duration of elite performance rather than peak performance, LeBron's case is actually the strongest in history — that is in the box scores.",analysis,analysis,False
rnba_007,comment,"The 2015-2019 Warriors played a softer postseason schedule than the 2000s Spurs by a fairly significant margin. The West was weaker in that period — fewer teams with top-10 net ratings. The Spurs' five titles were built against consistently tougher competition, and that does not show up when people compare ring counts.",analysis,analysis,False
rnba_008,post,"Counterintuitive: mid-range shots are not as inefficient as the analytics community claims for elite shooters. The average mid-range generates about 0.85 PPP. A corner 3 generates about 1.08 PPP. That gap is real. But for a player shooting 52%+ on mid-range attempts, the efficiency reaches 1.04 PPP — close enough that the threat value shifts the calculus further.",analysis,analysis,False
rnba_009,comment,"Embiid's regular season production is undeniable — 33 and 11 this season — but his availability over his career sits around 61% of possible games. Centers who won Finals MVPs in the last decade averaged 78%+ availability in their championship runs. There is a real question about whether peak numbers matter as much as sustained availability for winning titles.",analysis,analysis,False
rnba_010,post,"Post-up frequency dropped from roughly 9% of possessions in 2012 to under 4% in 2023. It is a feedback loop: once perimeter shooting became baseline, defenses could not send help without giving up open threes. That made post situations harder to execute because the post player could not count on doubled coverage. The strategy became less viable because the surrounding context changed.",analysis,analysis,False
rnba_011,post,"The Spurs' 2003-2014 dynasty is underappreciated because they never had the media market. Five championships in 12 years, built around a system that developed overlooked talent — Manu from Argentina, Parker from France, Duncan from the Virgin Islands. Their draft hit rate on international players in that era was extraordinary before international scouting was mainstream.",analysis,analysis,False
rnba_012,comment,"For people saying the current Celtics are a dynasty: they need to win back-to-back titles first. Since 2000, teams that won consecutive championships were the Lakers (00-02), Spurs (03, plus near-back-to-backs), Heat (12-13), and Warriors (17-18). The bar for dynasty is consecutive titles — not just sustained contention.",analysis,analysis,False
rnba_013,post,"Comparing championships across eras is difficult but not impossible. The 1986 Celtics ran through a 16-game playoff bracket in a 23-team league. Modern teams run 16 games minimum against deeper talent pools with expanded international development. That does not mean you can directly compare, but raw ring counts need context.",analysis,analysis,False
rnba_014,post,"Transition defense is probably the most underreported factor in playoff basketball. Teams that gave up fewer than 12 fast break points per game in the playoffs won the title in 6 of the last 9 seasons. Transition stops prevent easy buckets and maintain defensive structure — which compounds across 6-7 game series in ways regular season numbers obscure.",analysis,analysis,False
rnba_015,comment,"The narrative that the Knicks are back is getting ahead of the data. Their net rating this season (+4.2) is legitimate but ranks them 7th in the East. Their point differential in close games suggests some luck component. Teams with that profile tend to regress in the playoffs when opponents have 7 games to adjust.",analysis,analysis,False
rnba_016,post,"Wilt's 50.4 points per game season in 1961-62 is real, but context matters. He averaged 48.5 minutes per game. The pace of play was dramatically higher — 118 possessions per game versus about 98 today. His per-possession production in that season is still excellent but roughly comparable to elite modern scorers rather than being in a category of its own.",analysis,analysis,False
rnba_017,comment,"The most underrated factor in small-ball effectiveness is the rim protection tradeoff. When you go small, you lose roughly 3-4 defensive rebounds per game but gain possessions through transition speed. The net effect depends entirely on whether your perimeter defenders can absorb more defensive responsibility — and most teams overestimate their wing defenders.",analysis,analysis,False
rnba_018,post,"Playoff clutch shooting data is counterintuitive. Players described as clutch by the media often have worse true shooting percentages in clutch situations than in regular game situations. The gap between LeBron's clutch and non-clutch TS% is smaller than Jordan's, for example. Clutch is largely a recency and memory bias — we remember the makes and forget the misses.",analysis,analysis,False
rnba_019,comment,"Kyrie's shot chart shows an extremely high volume of contested mid-range and pull-up attempts that most shot-selection models mark as inefficient. His actual efficiency on those shots is in the 95th percentile for the positions he takes them from — which is either extraordinary skill or a massive sample-size anomaly.",analysis,analysis,False
rnba_020,post,"Teams that lose in the second round often had better net ratings during the season than first-round exits but worse defensive ratings in the series. The pattern suggests second-round opponents have more time to prepare and game plan. First-round matchups against lower seeds do not require the same level of adaptation.",analysis,analysis,False
rnba_021,post,"Draymond Green's case for DPOY is stronger on advanced metrics than his two wins suggest. His Defensive Box Plus-Minus in his best seasons ranks in the top 5 all-time for a non-center. DBPM typically favors big men who block shots — a forward-sized player scoring at this level for defensive impact is genuinely rare.",analysis,analysis,False
rnba_022,comment,"Luka's regular season True Shooting (62.5%) drops to about 57.5% in the playoffs. However, his usage rate increases by roughly 6 percentage points in the playoffs, meaning he is taking harder shots under more defensive attention. The efficiency decline is real but smaller than it looks when you account for increased workload.",analysis,analysis,False
rnba_023,post,"Zone defense changed the game more than people acknowledge. Before the 2001 rule change, teams had to play man-to-man exclusively. The introduction of the zone reduced pick-and-roll effectiveness by roughly 12-15%, which forced the shift toward corner three spacing to punish overshifted zones.",analysis,analysis,False
rnba_024,comment,"Giannis's three-point percentage went from 23.8% to 25.6% in his breakout seasons — marginal but enough to shift how defenses played him. More importantly, his shot selection inside the arc improved: from forcing mid-range shots at 12% of his attempts to less than 6%. The improvement was a fundamental change in shot diet, not just raw athleticism.",analysis,analysis,False
rnba_025,post,"Second-unit scoring differential is one of the best predictors of playoff resilience. Teams whose bench outscores opponent benches by 5+ points per game in the regular season have a 67% win rate in playoff series where the starters are roughly even. Elite playoff opponents neutralize star matchups quickly, so the team whose depth can hold ground often controls the series.",analysis,analysis,False
rnba_026,post,"The 2001 Lakers went 15-1 in the playoffs. Their net rating during that run was +13.4 per 100 possessions. For context, the 2017 Warriors were +11.9 per 100 in their championship run. The 2001 Lakers were playing in a higher-pace era, but the margin over their competition was wider than any modern championship team.",analysis,analysis,False
rnba_027,comment,"Pace-adjusted stats change several conventional historical narratives. Oscar Robertson's 1961-62 triple-double season is famous, but on a per-36-minutes basis adjusted for pace, it is comparable to what Westbrook averaged in his 2016-17 season. The raw numbers look historic because pace was much higher — not because the per-possession production was uniquely transcendent.",analysis,analysis,False
rnba_028,post,"East teams sometimes have a harder road than they appear to. In years where the East has 4-5 legitimately strong teams clustered in seeds 1-5, they cannibalize each other in the second round. The conference imbalance argument is real, but the structural playoff format amplifies it by forcing strong East teams to eliminate each other early.",analysis,analysis,False
rnba_029,comment,"Shaq's MVP case in 1999-2000 is overwhelming statistically: 29.7 ppg, 13.6 rpg, 3.0 bpg on 57.4% shooting. His PER of 30.6 is the fourth-highest single-season PER in NBA history. The case for any other MVP winner that year is thin by comparison — it is one of the cleaner MVP decisions in the historical record.",analysis,analysis,False
rnba_030,post,"Three-point defense strategy has fundamentally changed since 2018. Teams now switch more aggressively on perimeter screens to prevent corner threes rather than protecting the rim first. This has created an opportunity in paint scoring — teams that attack late close-outs and over-committed switches score roughly 15% more efficiently in those situations than five years ago.",analysis,analysis,False
rnba_031,post,"The Celtics' offensive system runs a significant percentage of half-court sets through motion principles requiring all five players to read and cut. Their assist-to-turnover ratio (2.8) reflects the read-and-react nature of this system — it naturally generates more turnovers because players are making live reads rather than running scripted plays.",analysis,analysis,False
rnba_032,comment,"Centers who shoot from mid-range actually pull fewer offensive rebounds than traditional post centers — their spacing takes them away from rebounding positions. Embiid's offensive rebounding percentage (7.2%) is below average for a center of his size and usage. His value is not in second chances but in his ability to create shots in the first place.",analysis,analysis,False
rnba_033,post,"The free throw differential in playoff series is criminally underreported. Teams that get to the line at a significantly higher rate than opponents win playoff series at about a 72% clip. It is not just the points — the foul trouble it creates is what compounds across a 7-game series.",analysis,analysis,False
rnba_034,comment,"Usage rate as a metric has real limitations for comparing players across eras. A player with a 35% usage rate in 1985 was involved in a higher raw number of possessions per game than a 35% usage player today because pace was much higher. When comparing peak usage seasons historically, you have to adjust for pace.",analysis,analysis,False
rnba_035,post,"The data on injury reduction from load management is mixed, but the data on performance in load-managed players' peak years is fairly clear. Players who logged heavy minutes in their late 20s show measurably steeper declines by age 30 than players who managed minutes. The short-term entertainment cost may have a long-term quality-of-play benefit.",analysis,analysis,False
rnba_036,post,"Steal rate and block rate are actually negatively correlated at the team level — teams that pressure the ball and generate more steals tend to give up more uncontested drives, which means fewer shot-contest opportunities for their bigs. The Grizzlies in their best defensive seasons maintained both metrics simultaneously, which is extremely rare.",analysis,analysis,False
rnba_037,comment,"Kevin Durant's efficiency across multiple teams is the strongest evidence for his offensive talent being independent of system. His True Shooting was 63.8% with Golden State, 63.3% with Brooklyn, 63.1% with Phoenix, and 62.9% with OKC. The variance is essentially noise — no other player in history has maintained that level of efficiency across that many different systems.",analysis,analysis,False
rnba_038,post,"The three-team trade involving multiple picks is a recent phenomenon that has changed roster construction. Before 2015, teams rarely executed three-team deals with pick compensation — partly because pick protection clauses made valuations complex. The rise of these deals has accelerated asset accumulation for rebuilding teams.",analysis,analysis,False
rnba_039,comment,"Playoff officiating has measurably different foul-calling patterns than regular season officiating. The average number of fouls called per game drops by about 2-3 in the first round and another 1 in later rounds. This systematically advantages physical defenders and punishes teams whose offense runs through drawing fouls.",analysis,analysis,False
rnba_040,post,"The average age of championship rosters has stayed remarkably stable at around 27.8 years since 2000. The outliers are younger (2016 Cavaliers at 27.2) and older (2003 Spurs at 28.9). What the data actually shows is that prime players in the 26-30 range anchor title teams consistently — not that you need specifically young legs or veteran experience.",analysis,analysis,False
rnba_041,post,"Shot clock pressure in the final 5 seconds creates disproportionate inefficiency. League-wide TS% on possessions ending with 0-5 seconds on the shot clock is about 42%, compared to 57% on possessions with 10+ seconds. Teams that run effective sets off stagnation — deliberately burning the clock before the final action — generate significantly better results.",analysis,analysis,False
rnba_042,comment,"The argument for iso-heavy basketball comes down to matchup exploitation. When you have a player with a 15-point per 100 possessions advantage over his defender, generating a pure isolation is the highest-percentage play even if isolation basketball produces lower average efficiency. The math only works when the star actually has that kind of edge on the defender they are targeting.",analysis,analysis,False
rnba_043,post,"Jordan's six Finals came through the Eastern Conference, which in that era included the Knicks, Pacers, and Heat — legitimate defensive juggernauts. The claim is not that this was easier or harder than modern paths, but that the specific opponents force different skills than a Western Conference path through the Spurs and Jazz.",analysis,analysis,False
rnba_044,comment,"Advanced metrics do a poor job capturing defensive versatility, which is why players like Mikal Bridges and Kawhi Leonard sometimes look undervalued. The metrics capture blocks and steals but not the number of quality shot attempts prevented through positioning — which optical tracking data suggests accounts for 30-40% of defensive value in certain systems.",analysis,analysis,False
rnba_045,post,"The Warriors' Death Lineup net rating from 2015-2018 was +21.6 per 100 possessions over roughly 260 minutes. The typical champion has a best lineup net rating of +15 per 100. The efficiency was not just about spacing — it was the combination of Curry's gravity and Green's switching versatility creating no exploitable defensive weaknesses.",analysis,analysis,False
rnba_046,post,"Bench scoring distribution matters more than total bench points. Teams where one bench player generates 70%+ of bench scoring are more vulnerable in the playoffs than teams with distributed contribution. When a key reserve is injured or defended into a poor series, distributed teams adapt; single-bench-scorer teams have their rotations exposed quickly.",analysis,analysis,False
rnba_047,comment,"Players marketed as clutch typically show regression toward their overall efficiency in larger clutch sample sizes. The outliers who maintain significantly above-average clutch performance over 3+ seasons are genuinely real — but most clutch reputations are built on 15-20 memorable moments from a career of thousands.",analysis,analysis,False
rnba_048,post,"Contract structure is shaping team building in ways the box score does not show. The max contract ceiling relative to the salary cap has expanded over time, which means the maximum theoretical hit from a bad max contract has grown. Teams that signed max contracts in 2016-2019 on players who did not work out spent years with less flexibility than teams that avoided those deals.",analysis,analysis,False
rnba_049,comment,"Half-court turnovers typically lead to possessions for the opponent in their set offense. Transition turnovers feed directly into fast break opportunities. Teams with the best point differentials typically limit transition turnovers even if their half-court turnover rate is only average — transition defense is expensive in a way that set-defense recovery is not.",analysis,analysis,False
rnba_050,post,"Perimeter defense has been the limiting factor for rebuilding teams in recent drafts, not offensive development. The 2021-2023 draft classes produced several elite offensive players who struggle to guard anyone. Young teams built around offensive talent often disappoint in April because playoff offenses have more time to find and exploit weak defenders.",analysis,analysis,False
rnba_051,post,"The usage-efficiency tradeoff is real but overstated for generational talents. For average NBA players, efficiency declines meaningfully above a 28% usage rate. For elite shot creators like Curry, Durant, and Tatum, the efficiency decline at high usage is significantly smaller — often 1-2% True Shooting compared to 4-6% for typical high-usage players.",analysis,analysis,False
rnba_052,comment,"Historical rebounding numbers look more impressive than modern numbers partly because pace was higher and partly because offensive rebounding philosophy was different. Teams used to send more players to the offensive glass aggressively, which created more second chances but also more transition defense vulnerability. The move away from offensive rebounding is a strategic choice with real trade-offs.",analysis,analysis,False
rnba_053,post,"Rim protection metrics have become more precise since optical tracking was introduced in 2013-14. Before tracking, we only knew a player's block total. With tracking, we can measure shot frequency when a specific defender is the nearest man — players who deter shots without blocking them show up much better in modern data because their deterrence effect was previously invisible.",analysis,analysis,False
rnba_054,comment,"The salary cap hard/soft distinction has a measurable effect on competitive balance. Under the soft cap with luxury tax, teams can pay over the cap to retain their own players, which creates an advantage for teams in large markets who can sustain the tax. The same 8-10 franchises have appeared in Finals consistently since 1984 despite the ostensibly level playing field.",analysis,analysis,False
rnba_055,post,"The argument that modern players would dominate in any era is partially but not entirely true. Certain skill sets translate universally — shooting, passing, footwork. But sports medicine, nutrition, and training methodology have genuinely advanced such that the physical preparation gap would affect how 1980s players performed against modern training regimens.",analysis,analysis,False
rnba_056,comment,"Kobe's true shooting percentage (55.0% career) looks below average by modern standards, but it is higher than every shooting guard from his era who relied heavily on isolation and post scoring. The right comparison group is not modern players — it is players who ran a similar volume of contested isolation attempts in the same era.",analysis,analysis,False
rnba_057,post,"The 2004 Detroit Pistons are the best example of a system-first championship team in modern history. No player on their starting five made first-team All-NBA that season. Their net rating differential was built entirely on defensive structure — they gave up the fewest points per possession in the league in the playoffs.",analysis,analysis,False
rnba_058,comment,"The 2015-16 San Antonio Spurs had a defensive rating of 95.0 per 100 possessions — the lowest in the shot-clock era. They had five players who could reasonably be called elite defenders by advanced metric standards. They lost to the Warriors in the second round despite this, which tells you something important about offensive firepower eventually overcoming elite defense.",analysis,analysis,False
rnba_059,post,"Studies attempting to isolate coaching contributions using lineup data suggest that elite coaches add approximately 4-6 wins per season above a replacement-level coach with identical rosters. Over a 5-year period, a great coach might account for 20-30 extra wins, which translates to playoff seeding and home court advantages that compound into title opportunities.",analysis,analysis,False
rnba_060,comment,"Shot blockers who also move their feet defensively are significantly more valuable than their block totals suggest. A big man who blocks shots but cannot defend in space is a liability in modern lineups. Wembanyama's defensive value is not just his blocks — it is that he can cover ground to contest perimeter shots while also patrolling the paint.",analysis,analysis,False
rnba_061,post,"Curry's off-ball attention rate — how often a defender is within 4 feet of him when he does not have the ball — is among the highest ever recorded with tracking data. This means his teammates get cleaner looks even when he is not touching the ball, which is why the Warriors' offense drops significantly when he sits even in minutes his direct stats suggest rest is warranted.",analysis,analysis,False
rnba_062,comment,"Draft pick value is consistently overestimated in trade negotiations. The probability distribution of outcomes for unprotected late lottery picks is much wider than teams act like it is — roughly a 60% chance a pick outside the top 4 does not produce a meaningful starter. Teams that built well through the draft overloaded on picks so the law of large numbers worked for them.",analysis,analysis,False
rnba_063,post,"The pace of play adjustment changes how we view the Stockton-Malone Jazz. Their regular season performances happened in a higher-pace era than the mid-2000s Spurs. Adjusted for pace and defensive era, their offensive numbers are roughly equivalent to the best offensive teams of the 2010s — they were genuinely among the most efficient offenses of the modern era.",analysis,analysis,False
rnba_064,comment,"Coaches who won their first title made the most significant tactical adjustment between Games 3 and 5 of close series — going smaller, changing defensive assignments, or installing a new offensive action. That pattern is consistent enough across multiple championships that it reflects expertise, not coincidence.",analysis,analysis,False
rnba_065,post,"Being selected to 10+ All-Star games is a reliable Hall of Fame predictor, but players with 5-7 selections are inducted at roughly a 50% rate — which means half of solid All-Star-level careers do not make the Hall. The selection criteria seems to weight championships and statistical peaks more heavily than sustained All-Star level production.",analysis,analysis,False
rnba_066,post,"LeBron is clearly in decline. His playoff performances have not carried teams the way they used to. Anyone still putting him in the GOAT conversation over Jordan is just coping at this point.",hot_take,,False
rnba_067,comment,"Kyrie Irving is the most skilled player in NBA history. His handles are on another level. If he actually cared about winning, he would have 6 rings.",hot_take,,False
rnba_068,post,"The three-point revolution ruined basketball. Centers cannot even play in the paint anymore without getting pulled out to the perimeter. The game was so much more beautiful before Steph Curry happened.",hot_take,,False
rnba_069,comment,"Russell Westbrook was never a top-5 player in the league. He put up stats on bad teams in a weak era of the West. The MVP he won should have gone to Harden.",hot_take,,False
rnba_070,post,"Kawhi Leonard is the most overrated player of his generation. Two titles, but one was on a stacked Spurs team he eventually burned and one was with a stacked Raptors team. He gets way too much credit for just being healthy enough to play.",hot_take,,False
rnba_071,comment,"Durant is soft and always will be. He joined the Warriors after blowing a 3-1 lead because he could not beat them. A real competitor stays and figures it out.",hot_take,,False
rnba_072,post,"The Knicks are going to win the championship this year. The energy in MSG is unmatched, Brunson is elite, and the rest of the league is sleeping on them. Mark my words.",hot_take,,False
rnba_073,comment,"Playoff Rondo was a top-3 point guard of all time. No one in the modern era can match his playoff IQ and ability to elevate his game when it mattered.",hot_take,,False
rnba_074,post,"James Harden's legacy is going to be great regular season player and playoff choker. No matter what happens from here, that is the headline. Numbers do not matter if you cannot deliver when it counts.",hot_take,,False
rnba_075,comment,"OKC's first-round exit proves they are not as good as their record says. Regular season padding against bad teams. Presti will be selling hope again by next season.",hot_take,,False
rnba_076,post,"Giannis is a product of the system. Put him on the Jazz in 2004 and he averages 14 and 8. His game is essentially one move — drive to the rim — and eventually teams will just build a wall there and shut him down completely.",hot_take,,False
rnba_077,comment,"The Warriors dynasty was the worst thing to ever happen to competitive basketball. Four years of them just running teams off the floor was not entertainment — it was torture, and the league let it happen for ratings.",hot_take,,False
rnba_078,post,"Trae Young will never win a championship. His defense is a liability that playoff teams will always find and exploit. He is the definition of a stats compiler.",hot_take,,False
rnba_079,comment,"Zion Williamson is a bust, full stop. With his physical gifts and the team built around him, he should have multiple All-Star appearances and at least one playoff series win by now. Instead, perpetually injured and disinterested.",hot_take,,False
rnba_080,post,"Stephen Curry is the greatest player in NBA history. Not Jordan. Not LeBron. Curry changed the entire sport and won titles without needing to go somewhere better — he made his team better by his presence alone.",hot_take,,False
rnba_081,comment,"The Celtics are mentally soft. Every year they are supposed to be the favorites and every year they find a new way to embarrass themselves in the playoffs. It is a culture issue, not a talent issue.",hot_take,,False
rnba_082,post,"Kobe Bryant was a better player than LeBron James. Better scorer, better clutch player, better competitor. The stats favor LeBron but stats cannot measure heart, and Kobe had more of it than anyone in the league's history.",hot_take,,False
rnba_083,comment,"The league is soft. Players nowadays flop and complain to the refs constantly. In the 80s and 90s they played through actual physical defense and the game was better for it.",hot_take,,False
rnba_084,post,"Anthony Davis is the ultimate what-could-have-been player. Generational talent, completely wasted because he only shows up when he feels like it. If he had Kobe's mentality he would be a legend. Instead he is a cautionary tale.",hot_take,,False
rnba_085,comment,"Embiid crying at the MVP announcement makes me less impressed, not more. Winning an award you have won before should not reduce you to tears on a basketball court. That tells you everything about his mentality.",hot_take,,False
